Day,Focus,Task,Output
Day 1,Install Python, Git, PyCharm; set up virtualenv,Install Python, Git, PyCharm; set up virtualenv,Environment ready
Day 2,Variables, datatypes, operators → calculator script,Variables, datatypes, operators → calculator script,calculator.py
Day 3,Strings & formatting → text manipulator,Strings & formatting → text manipulator,string_tools.py
Day 4,Conditionals (if-else) → grading system,Conditionals (if-else) → grading system,grading.py
Day 5,Loops (for/while) → number guessing game,Loops (for/while) → number guessing game,guess_game.py
Day 6,Functions → simple menu-driven calculator,Functions → simple menu-driven calculator,menu_calc.py
Day 7,Lists & tuples → mini contact list,Lists & tuples → mini contact list,contacts.py
Day 8,Sets & dicts → frequency counter,Sets & dicts → frequency counter,freq_counter.py
Day 9,List/dict comprehensions → mini transformations,List/dict comprehensions → mini transformations,list_comp.py
Day 10,File I/O → read/write CSV student marks,File I/O → read/write CSV student marks,marks.csv
Day 11,JSON basics → store/retrieve contacts,JSON basics → store/retrieve contacts,contacts.json
Day 12,Error handling → robust calculator,Error handling → robust calculator,error_calc.py
Day 13,Debugging in PyCharm (breakpoints),Debugging in PyCharm (breakpoints),debug_notes.md
Day 14,Import modules → utility module for math,Import modules → utility module for math,math_utils.py
Day 15,Classes & objects → book library,Classes & objects → book library,library.py
Day 16,Inheritance & polymorphism → shapes area calculator,Inheritance & polymorphism → shapes area calculator,shapes.py
Day 17,Special methods (__str__, __len__) → custom class,Special methods (__str__, __len__) → custom class,custom_class.py
Day 18,Iterators & generators → Fibonacci generator,Iterators & generators → Fibonacci generator,fib_gen.py
Day 19,Decorators → log execution time,Decorators → log execution time,decorator.py
Day 20,Context managers (with) → file handler,Context managers (with) → file handler,file_handler.py
Day 21,Virtualenv, requirements.txt, pip,Virtualenv, requirements.txt, pip,requirements.txt
Day 22,Testing with pytest → test math utilities,Testing with pytest → test math utilities,test_math.py
Day 23,Type hints & mypy → refactor utilities,Type hints & mypy → refactor utilities,typed_utils.py
Day 24,Linting & formatting (black, flake8),Linting & formatting (black, flake8),linting.md
Day 25,Logging module → log user activity,Logging module → log user activity,app.log
Day 26,Date/time handling → countdown timer,Date/time handling → countdown timer,countdown.py
Day 27,Collections (Counter, defaultdict),Collections (Counter, defaultdict),collections_demo.py
Day 28,Concurrency basics → multithreaded downloader,Concurrency basics → multithreaded downloader,downloader.py
Day 29,Package your CLI app with setuptools,Package your CLI app with setuptools,setup.py
Day 30,Mini Project: CLI To-do app with file storage + unit tests,Mini Project: CLI To-do app with file storage + unit tests,todo_app/
Day 31,NumPy arrays → matrix operations,NumPy arrays → matrix operations,numpy_matrix.py
Day 32,Array slicing, indexing, broadcasting,Array slicing, indexing, broadcasting,numpy_slicing.py
Day 33,Aggregations (mean, sum, std),Aggregations (mean, sum, std),numpy_agg.py
Day 34,Linear algebra → implement dot product,Linear algebra → implement dot product,numpy_dot.py
Day 35,Random module + NumPy RNG → simulate dice rolls,Random module + NumPy RNG → simulate dice rolls,numpy_rng.py
Day 36,pandas Series → explore stock prices,pandas Series → explore stock prices,pandas_series.py
Day 37,pandas DataFrame → load CSV dataset,pandas DataFrame → load CSV dataset,pandas_dataframe.py
Day 38,Missing values, duplicates, cleaning,Missing values, duplicates, cleaning,pandas_cleaning.py
